"project","file","id","line","column","original","replacement","coding","temperature"
"Complex.js","complex.js",718,727,50,"2 * a","2 * b","Behavioral Change","LLMorpheus"
"countries-and-timezones","src/index.js",88,12,40,"getCountry(id, options)","getCountry(id, options, {})","Equivalent","LLMorpheus"
"countries-and-timezones","src/index.js",117,22,7,"!countries[id]","countries[id] === undefined","Equivalent","LLMorpheus"
"countries-and-timezones","src/index.js",177,49,18,"getCountriesForTimezone(tzName, options)","getCountriesForTimezone(tzName, options, {
  country: null
})","Equivalent","LLMorpheus"
"countries-and-timezones","src/build-country.js",18,32,11,"!result[country]","result[country] === undefined","Equivalent","LLMorpheus"
"countries-and-timezones","src/build-country.js",8,18,7,"!timezonesMap","typeof timezonesMap === 'undefined'","Equivalent","LLMorpheus"
"countries-and-timezones","src/index.js",204,64,9,"!tzs[key].deprecated","tzs[key].deprecated !== true","Equivalent","LLMorpheus"
"countries-and-timezones","src/index.js",138,32,7,"!timezones[name]","timezones[name] === undefined","Equivalent","LLMorpheus"
"countries-and-timezones","src/build-timezone.js",55,30,17,"Math.floor","Math.round","Behavioral Change","LLMorpheus"
"countries-and-timezones","src/index.js",175,49,18,"getCountriesForTimezone(tzName, options)","getCountriesForTimezone(tzName, options, null)","Equivalent","LLMorpheus"
"countries-and-timezones","src/index.js",216,70,7,"!country","country === undefined","Behavioral Change","LLMorpheus"
"countries-and-timezones","src/build-country.js",0,5,7,"!name","name === undefined","Equivalent","LLMorpheus"
"countries-and-timezones","src/build-country.js",6,18,7,"!timezonesMap","timezonesMap === undefined","Equivalent","LLMorpheus"
"countries-and-timezones","src/build-timezone.js",54,30,17,"Math.floor","Math.ceil","Behavioral Change","LLMorpheus"
"countries-and-timezones","src/index.js",100,17,7,"totalTimezones !== memoizedTimezones","totalTimezones !== memoizedTimezones * 2","Behavioral Change","LLMorpheus"
"countries-and-timezones","src/build-country.js",7,18,7,"!timezonesMap","timezonesMap !== null","Equivalent","LLMorpheus"
"countries-and-timezones","src/index.js",155,39,35,"timezone","timezone.countries","Behavioral Change","LLMorpheus"
"countries-and-timezones","src/index.js",89,12,40,"getCountry(id, options)","getCountry(id, options, undefined)","Equivalent","LLMorpheus"
"countries-and-timezones","src/index.js",140,32,7,"!timezones[name]","!timezones.hasOwnProperty(name)","Equivalent","LLMorpheus"
"countries-and-timezones","src/build-timezone.js",62,34,30,"hours","Math.floor(offset / 60)","Equivalent","LLMorpheus"
"countries-and-timezones","src/build-timezone.js",39,14,21,"Number.isInteger","Number.isFinite","Behavioral Change","LLMorpheus"
"countries-and-timezones","src/build-timezone.js",56,30,17,"Math.floor","Math.trunc","Behavioral Change","LLMorpheus"
"countries-and-timezones","src/index.js",99,17,7,"totalTimezones !== memoizedTimezones","totalTimezones !== memoizedTimezones - 1","Behavioral Change","LLMorpheus"
"countries-and-timezones","src/index.js",189,55,7,"!country","country === null","Equivalent","LLMorpheus"
"countries-and-timezones","src/index.js",135,27,7,"!country","country === null","Equivalent","LLMorpheus"
"countries-and-timezones","src/index.js",176,49,18,"getCountriesForTimezone(tzName, options)","getCountriesForTimezone(tzName, options, {})","Equivalent","LLMorpheus"
"countries-and-timezones","src/build-timezone.js",41,14,21,"Number.isInteger","Number.isSafeInteger","Behavioral Change","LLMorpheus"
"countries-and-timezones","src/index.js",98,17,7,"totalTimezones !== memoizedTimezones","totalTimezones !== memoizedTimezones + 1","Behavioral Change","LLMorpheus"
"countries-and-timezones","src/index.js",153,39,35,"timezone","timezone.name","Behavioral Change","LLMorpheus"
"countries-and-timezones","src/index.js",87,12,40,"getCountry(id, options)","getCountry(id, options, null)","Equivalent","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",144,104,9,"!tmpUrl.text.includes(text)","tmpUrl.text.indexOf(text) !== -1","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",250,165,8,"linkurl_path.includes(pageurl_path)","linkurl_path.startsWith(pageurl_path)","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",215,147,71,"/\/default\.[a-z]+$/","/\/default\.[a-z]+$/i","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",31,47,43,"true","false","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",137,102,19,"currentUrl.url","currentUrl.host","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",45,55,23,"URL.parse(baseUrlStr, true, true)","URL.parse(baseUrlStr, false, true)","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",279,205,18,"url","url.href","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",59,59,31,"URL.resolve(parsedBaseUrl, parsedUrl)","URL.resolve(parsedBaseUrl, parsedUrl, parsedUrl.protocol === 'http:')","Equivalent","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",22,40,35,"/#.*$/","/#.*$/g","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",128,101,7,"currentUrl && currentUrl.url","currentUrl && currentUrl.url !== baseUrlStr","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",224,156,6,"pageurl.host == linkurl.host","pageurl.host == linkurl.host && pageurl.protocol == linkurl.protocol","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",122,99,20,"parse(href, baseUrlStr)","parse(href, baseUrlStr + ""test"")","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",58,59,31,"URL.resolve(parsedBaseUrl, parsedUrl)","URL.resolve(parsedBaseUrl, parsedUrl, false)","Equivalent","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",206,147,17,"pageurl_path.replace(/\/index\.[a-z]+$/, '/')","pageurl_path.replace(/\/index\.[a-z]+$/, '')","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",232,161,57,"/(\/[^\/]*)[\/]?$/","/(\/[^\/]*)[\/]?$/i","Equivalent","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",278,186,2,"console.log","console.error","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",65,59,31,"URL.resolve","URL.resolveObject","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",83,63,45,"true","null","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",35,47,49,"true","null","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",24,40,43,"''","'#'","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",146,104,31,"text","text.toUpperCase()","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",20,40,16,"baseUrlStr.replace(/#.*$/, '')","baseUrlStr.replace(/#.*$/, '\\\\')","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",263,167,8,"pageurl_path.includes","pageurl_path.startsWith","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",244,163,8,"linkurl_without_last_part == pageurl_without_last_part","linkurl_without_last_part === pageurl_without_last_part","Equivalent","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",23,40,35,"/#.*$/","/#.*$/i","Equivalent","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",10,36,40,"/#.*$/","/^#.*$/","Equivalent","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",9,36,18,"currentUrlStr.replace(/#.*$/, '')","currentUrlStr.replace(/#.*$/, ' ')","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",202,146,93,"'/'","' '","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",117,95,16,"this","$(this).text().trim().split("" "").slice(-1)","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",143,104,9,"!tmpUrl.text.includes(text)","tmpUrl.text.includes(text)","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",21,40,35,"/#.*$/","/^#.*$/","Equivalent","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",281,205,18,"url","url.host","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",207,147,17,"pageurl_path.replace(/\/index\.[a-z]+$/, '/')","pageurl_path.replace(/\/index\.[a-z]+$/, ' ')","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",268,167,30,"linkurl_path","linkurl_path.substring(linkurl_path.lastIndexOf(""/"") + 1)","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",18,40,16,"baseUrlStr.replace(/#.*$/, '')","baseUrlStr.replace(/#.*$/, ' ')","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",133,102,8,"urlMap.has","urlMap.hasOwnProperty","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",240,162,57,"/(\/[^\/]*)[\/]?$/","/(\/[^\/]*)[\/]?$/g","Equivalent","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",214,147,71,"/\/default\.[a-z]+$/","/\/default\.[a-z]+$/g","Equivalent","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",218,147,93,"'/'","' '","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",271,171,13,"linkurl.domain == pageurl.domain","linkurl.domain.includes(pageurl.domain)","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",1,31,6,"typeof currentUrlStr === 'undefined'","currentUrlStr === undefined","Equivalent","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",29,47,18,"URL.parse(currentUrlStr, true, true)","URL.parse(currentUrlStr, true, false)","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",49,55,51,"true","false","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",130,102,8,"urlMap.has(currentUrl.url)","urlMap.has(currentUrl.url) && urlMap.get(currentUrl.url).text.includes(text)","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",242,162,57,"/(\/[^\/]*)[\/]?$/","/(\/[^\/]*)[\/]?$/m","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",212,147,58,"'/'","'\\'","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",81,63,39,"true","parsedUrl.protocol != 'http:' && parsedUrl.protocol != 'https:'","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",126,99,26,"href","$(this).prop(""href"")","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",208,147,17,"pageurl_path.replace(/\/index\.[a-z]+$/, '/')","pageurl_path.replace(/\/index\.[a-z]+$/, '\\')","Behavioral Change","LLMorpheus"
"crawler-url-parser","crawler-url-parser.js",57,59,31,"URL.resolve(parsedBaseUrl, parsedUrl)","URL.resolve(parsedBaseUrl, parsedUrl, true)","Equivalent","LLMorpheus"
"delta","src/Delta.ts",104,60,9,"Array.isArray(ops)","typeof ops === 'object' && ops.length > 0","Behavioral Change","LLMorpheus"
"delta","src/Op.ts",692,18,16,"typeof op.retain === 'object' && op.retain !== null","op.retain === null","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",387,368,24,"Math.min(length, thisIter.peekLength())","Math.min(length, thisIter.peekLength() + 1)","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",340,333,18,"other.ops[0]","other.ops[Math.floor(Math.random() * other.ops.length)]","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",688,570,5,"typeof module === 'object'","typeof module === 'string'","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",264,260,11,"otherIter.peekType() === 'insert'","otherIter.peekType() === 'insert' && otherIter.peekLength() > 0","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",207,199,39,"initialValue","null","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",186,174,28,"predicate","(op, index) => predicate(op, index) || index === 0","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",383,365,27,"otherIter.next(opLength)","otherIter.next(opLength + 1)","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",322,310,21,"delta.ops[delta.ops.length - 1]","delta.ops[0]","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",257,254,11,"firstOther.retain - firstLeft > 0","firstOther.retain - firstLeft !== 0","Behavioral Change","LLMorpheus"
"delta","src/AttributeMap.ts",65,82,9,"typeof a !== 'object'","a === undefined","Equivalent","LLMorpheus"
"delta","src/Delta.ts",343,334,36,"other.ops.slice(1)","other.ops.slice(1, 2)","Behavioral Change","LLMorpheus"
"delta","src/AttributeMap.ts",39,50,13,"!isEqual(a[key], b[key])","!isEqual(a[key], b[key]) && a[key] !== null && b[key] !== null","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",354,355,24,"diff(strings[0], strings[1], cursor)","diff(strings[0], strings[1], strings[0].length)","Behavioral Change","LLMorpheus"
"delta","src/AttributeMap.ts",3,17,9,"typeof b !== 'object'","b === null","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",374,364,24,"Math.min","Math.abs","Behavioral Change","LLMorpheus"
"delta","src/AttributeMap.ts",0,14,9,"typeof a !== 'object'","a === null","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",436,407,12,"iter.hasNext()","iter.hasNext() && iter.peekLength() > 0","Equivalent","LLMorpheus"
"delta","src/Delta.ts",129,99,9,"typeof length === 'number' && length <= 0","length === 0","Behavioral Change","LLMorpheus"
"delta","src/AttributeMap.ts",68,85,9,"typeof b !== 'object'","typeof b === 'undefined'","Equivalent","LLMorpheus"
"delta","src/Delta.ts",319,310,13,"isEqual(delta.ops[delta.ops.length - 1], newOp)","isEqual(delta.ops[Math.floor(delta.ops.length / 2)], newOp)","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",164,157,9,"index === this.ops.length","index > this.ops.length","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",125,89,9,"length <= 0","length === 0","Behavioral Change","LLMorpheus"
"delta","src/AttributeMap.ts",78,97,24,"attributes","Object.keys(a)","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",323,310,21,"delta.ops[delta.ops.length - 1]","delta.ops[delta.ops.length - 2]","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",353,355,24,"diff(strings[0], strings[1], cursor)","diff(strings[0], strings[1], null)","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",687,570,5,"typeof module === 'object'","typeof module === 'undefined'","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",157,141,15,"typeof newOp.attributes === 'object'","newOp.attributes !== undefined","Equivalent","LLMorpheus"
"delta","src/Delta.ts",376,364,33,"otherIter.peekLength()","otherIter.peekLength() + 1","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",317,310,13,"isEqual(delta.ops[delta.ops.length - 1], newOp)","isEqual(delta.ops[delta.ops.length - 2], newOp)","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",162,150,15,"typeof newOp.attributes === 'object'","newOp.attributes !== undefined","Equivalent","LLMorpheus"
"delta","src/Delta.ts",361,355,53,"cursor","cursor + 1","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",379,364,57,"length","length + 1","Behavioral Change","LLMorpheus"
"delta","src/AttributeMap.ts",28,44,9,"typeof b !== 'object'","b === null","Equivalent","LLMorpheus"
"delta","src/Delta.ts",324,310,21,"delta.ops[delta.ops.length - 1]","delta.ops[Math.floor(Math.random() * delta.ops.length)]","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",83,8,44,"0","NaN","Behavioral Change","LLMorpheus"
"delta","src/Op.ts",694,18,16,"typeof op.retain === 'object' && op.retain !== null","typeof op.retain === 'string'","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",87,23,7,"typeof b !== 'object' || b === null","typeof b !== 'object'","Equivalent","LLMorpheus"
"delta","src/Delta.ts",385,365,27,"otherIter.next(opLength)","otherIter.next(opLength * 2)","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",378,364,33,"otherIter.peekLength()","otherIter.peekLength() * 2","Behavioral Change","LLMorpheus"
"delta","src/AttributeMap.ts",2,14,9,"typeof a !== 'object'","a === NaN","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",684,557,18,"nextType === 'insert' && (offset < index || !priority)","nextType === 'insert' && (offset !== index || !priority)","Behavioral Change","LLMorpheus"
"delta","src/AttributeMap.ts",1,14,9,"typeof a !== 'object'","a === undefined","Equivalent","LLMorpheus"
"delta","src/Delta.ts",349,346,15,"op.insert != null","op.insert !== undefined","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",185,174,28,"predicate","(op, index) => predicate(op, index) && index % 2 === 0","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",683,557,18,"nextType === 'insert' && (offset < index || !priority)","nextType === 'insert' && (offset > index || !priority)","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",82,8,44,"0","-1","Behavioral Change","LLMorpheus"
"delta","src/Delta.ts",99,51,9,"!handler","handler === undefined","Equivalent","LLMorpheus"
"delta","src/Delta.ts",210,204,11,"elem.insert","elem.retain","Behavioral Change","LLMorpheus"
"image-downloader","index.js",48,24,7,"!path.isAbsolute(options.dest)","path.isAbsolute(options.dest) || path.isAbsolute(options.url)","Behavioral Change","LLMorpheus"
"image-downloader","index.js",7,6,27,"new Error('The options.url is required')","new Error('The options.dest is not a valid path')","Behavioral Change","LLMorpheus"
"image-downloader","index.js",46,24,7,"!path.isAbsolute(options.dest)","path.isAbsolute(options.dest)","Behavioral Change","LLMorpheus"
"image-downloader","index.js",31,18,50,"basename","basename.toLowerCase()","Behavioral Change","LLMorpheus"
"image-downloader","index.js",4,6,12,"Promise.reject","Promise.all","Behavioral Change","LLMorpheus"
"image-downloader","index.js",21,14,23,"options.dest","options.dest.split('/').pop()","Behavioral Change","LLMorpheus"
"image-downloader","index.js",41,20,32,"options.dest","options.dest.replace('bar', 'baz')","Behavioral Change","LLMorpheus"
"image-downloader","index.js",43,20,46,"decodedBasename","decodedBasename.toLowerCase()","Behavioral Change","LLMorpheus"
"image-downloader","index.js",54,24,24,"options.dest","path.dirname(options.dest)","Equivalent","LLMorpheus"
"image-downloader","index.js",29,18,31,"decodeURIComponent","decodeURI","Equivalent","LLMorpheus"
"image-downloader","index.js",27,17,38,"pathname","pathname.split('/').pop()","Equivalent","LLMorpheus"
"image-downloader","index.js",47,24,7,"!path.isAbsolute(options.dest)","!path.isAbsolute(options.dest) && path.isAbsolute(options.url)","Behavioral Change","LLMorpheus"
"image-downloader","index.js",5,6,12,"Promise.reject","Promise.race","Behavioral Change","LLMorpheus"
"image-downloader","index.js",53,24,24,"options.dest","options.dest.toLowerCase()","Equivalent","LLMorpheus"
"image-downloader","index.js",6,6,27,"new Error('The options.url is required')","new Error('The options.url is not a valid URL')","Behavioral Change","LLMorpheus"
"image-downloader","index.js",28,17,38,"pathname","pathname.split('/').slice(-1)[0]","Behavioral Change","LLMorpheus"
"image-downloader","index.js",1,5,7,"!options.url","options.url === null","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",111,92,50,"() => this._writeStream.destroy()","() => this._writeStream.end()","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",54,62,5,"this.set(key, undefined, cb)","this.set(key, undefined, null)","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",140,118,21,"'error'","'drain'","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",141,118,21,"'error'","'close'","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",270,191,34,"err","undefined","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",96,87,9,"this._queue.size || this._inFlightWrites > 0","this._queue.size && this._inFlightWrites > 0","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",204,152,32,"new Error(`Corrupted row at the end of the db: ${buffer}`)","new Error(`Corrupted row at the end of the db: ${buffer.split('').reverse().join('')}`)","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",19,34,19,"this._queue.get","this._queue.clear","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",222,169,50,"'drain'","'close'","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",159,126,17,"!rowStr","rowStr.trim() === ''","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",199,152,23,"'error'","'end'","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",63,62,30,"cb","() => {}","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",188,145,30,"row.key","row[""key""]","Equivalent","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",219,168,11,"!this._queue.size","this._queue.isEmpty()","Equivalent","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",170,134,19,"!('key' in row)","row.key === undefined","Equivalent","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",137,118,11,"this.emit('error', err)","this.emit('error', new Error('Custom error message'))","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",272,193,11,"this._waitForDrain","this._waitForDrain === false","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",149,122,15,"chunk.lastIndexOf","chunk.includes","Equivalent","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",150,122,15,"chunk.lastIndexOf","chunk.match","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",153,122,33,"'\n'","''","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",144,118,30,"err","err.stack","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",223,169,50,"'drain'","'error'","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",146,122,15,"chunk.lastIndexOf('\n') === -1","chunk.lastIndexOf('\n') === 0","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",250,189,41,"this.emit('error', err)","this.emit('error', new Error('Something went wrong'))","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",201,152,23,"'error'","'drain'","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",158,126,17,"!rowStr","rowStr.length === 0","Equivalent","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",103,88,26,"() => this.close()","() => this.close(true)","Equivalent","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",253,189,51,"'error'","'drain'","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",202,152,32,"new Error(`Corrupted row at the end of the db: ${buffer}`)","new Error(`Corrupted row at the end of the db: ${buffer.slice(0, -1)}`)","Behavioral Change","LLMorpheus"
