project,file,id,line,column,temperature,original,replacement,coding
Complex.js,complex.js,321,411,11,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,(this['isZero']() && z['isZero']()) || (this['isInfinite']() && z['isInfinite']()),this['isZero'](a) && z['isZero'](a) || this['isInfinite'](a) && z['isInfinite'](a),Trivially Equivalent
Complex.js,complex.js,353,416,11,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,this['isInfinite'],this['isNaN'],Behavioral Change
Complex.js,complex.js,330,416,11,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,this['isInfinite']() || z['isZero'](),this['isInfinite']() && z['isZero'](),Behavioral Change
Complex.js,complex.js,305,416,11,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,this['isInfinite']() || z['isZero'](),this['isInfinite']() || z['isZero']() && a !== 0 && b !== 0,Unknown
Complex.js,complex.js,319,432,11,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,0 === d,d == 0,Near Equivalent
Complex.js,complex.js,361,421,31,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,z['isInfinite'],z['isNaN'],Behavioral Change
Complex.js,complex.js,379,480,20,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,a === 0,a + 1 === 0,Behavioral Change
Complex.js,complex.js,355,480,20,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,a === 0,Math.abs(a) < 0,Behavioral Change
Complex.js,complex.js,383,488,44,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,b,Math.abs(b),Behavioral Change
Complex.js,complex.js,425,490,47,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,b,a + 1,Behavioral Change
Complex.js,complex.js,485,544,40,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,a,a - b,Trivially Equivalent
Complex.js,complex.js,447,547,30,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,2.0 * (r + a),(r + a) * 2.0,Trivially Equivalent
Complex.js,complex.js,618,638,37,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,this['re'],this.re,Trivially Equivalent
Complex.js,complex.js,630,656,18,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,a,-a,Behavioral Change
Complex.js,complex.js,563,673,18,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,a,-a,Behavioral Change
Complex.js,complex.js,648,673,28,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,b,-b,Behavioral Change
Complex.js,complex.js,569,673,28,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,b,-b,Behavioral Change
Complex.js,complex.js,668,691,29,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,cosh,Math.cosh,Trivially Equivalent
Complex.js,complex.js,681,695,9,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,sinh,Math.sinh,Trivially Equivalent
Complex.js,complex.js,689,709,24,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,a,-a,Behavioral Change
Complex.js,complex.js,815,921,28,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,b,b * a,Behavioral Change
Complex.js,complex.js,814,921,28,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,b,a * b,Behavioral Change
Complex.js,complex.js,705,922,14,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,a,-a,Behavioral Change
Complex.js,complex.js,714,938,14,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,a,1 / a,Behavioral Change
Complex.js,complex.js,727,939,28,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,b,a * b,Behavioral Change
Complex.js,complex.js,732,953,20,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,a,-a,Behavioral Change
Complex.js,complex.js,938,1257,20,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,this['re'] * places,places * this['re'],Trivially Equivalent
Complex.js,complex.js,940,1258,20,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,this['im'] * places,Math.abs(this['im'] * places),Unknown
Complex.js,complex.js,1133,1318,11,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,a !== 0,a != 0,Near Equivalent
Complex.js,complex.js,993,1356,11,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,this['im'] === 0,this['im'] == 0,Near Equivalent
Complex.js,complex.js,995,1368,14,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,isNaN,Number.isNaN,Trivially Equivalent
Complex.js,complex.js,1179,1415,14,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,typeof exports === 'object',typeof module === 'object',Behavioral Change
Complex.js,complex.js,1181,1415,14,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,typeof exports === 'object',typeof define === 'undefined',Behavioral Change
countries-and-timezones,src/build-country.js,25,33,11,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,tz.r === undefined,!tz.r,Near Equivalent
countries-and-timezones,src/build-country.js,24,33,11,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,tz.r === undefined,tz.r == null,Near Equivalent
countries-and-timezones,src/build-timezone.js,33,3,7,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,!timezone,!timezone || timezone.aliasOf,Unknown
countries-and-timezones,src/build-timezone.js,38,14,38,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,tz.d,tz.d - 1,Trivially Equivalent
countries-and-timezones,src/build-timezone.js,37,14,38,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,tz.d,tz.d + 1,Trivially Equivalent
countries-and-timezones,src/build-timezone.js,39,14,38,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,tz.d,tz.d * 2,Trivially Equivalent
countries-and-timezones,src/build-timezone.js,41,14,38,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,tz.d,tz.d + 1,Trivially Equivalent
countries-and-timezones,src/build-timezone.js,42,14,38,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,tz.d,tz.d * 2,Trivially Equivalent
countries-and-timezones,src/build-timezone.js,43,14,38,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,tz.d,tz.d - 1,Trivially Equivalent
countries-and-timezones,src/build-timezone.js,54,30,28,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,offset / 60,offset / 60.0,Trivially Equivalent
countries-and-timezones,src/build-timezone.js,64,38,24,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,input,Math.abs(input),Trivially Equivalent
countries-and-timezones,src/build-timezone.js,68,38,24,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,input,-input,Trivially Equivalent
countries-and-timezones,src/build-timezone.js,60,38,24,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,input,input * -1,Trivially Equivalent
countries-and-timezones,src/build-timezone.js,61,38,24,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,input,input.toFixed(2),Unknown
countries-and-timezones,src/index.js,72,5,36,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,data.timezones,Object.keys(data.timezones).reverse(),Trivially Equivalent
countries-and-timezones,src/index.js,73,5,36,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,data.timezones,Object.values(data.timezones),Trivially Equivalent
countries-and-timezones,src/index.js,67,12,12,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,"Object.assign(prev, { [id]: getCountry(id, options) })","Object.assign(prev, {
  [id]: getCountry(id, {
    deprecated: true,
    ...options
  })
})",Unknown
countries-and-timezones,src/index.js,69,12,32,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,"{ [id]: getCountry(id, options) }","{
  [id]: getCountry(id, {
    deprecated: true,
    ...options
  })
}",Unknown
countries-and-timezones,src/index.js,72,12,40,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,"getCountry(id, options)","getCountry(id, options)",Trivially Equivalent
countries-and-timezones,src/index.js,73,12,40,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,"getCountry(id, options)","getCountry(id, {
  ...options,
  newProperty: 'newValue'
})",Unknown
countries-and-timezones,src/index.js,116,22,38,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,"buildCountry(data, id)","buildCountry(data, id, true)",Unknown
countries-and-timezones,src/index.js,117,22,38,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,"buildCountry(data, id)","buildCountry(data, id, false)",Unknown
countries-and-timezones,src/index.js,118,22,38,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,"buildCountry(data, id)","buildCountry(data, id, null)",Unknown
countries-and-timezones,src/index.js,134,32,41,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,"buildTimezone(data, name)","buildTimezone(data, name, true)",Unknown
countries-and-timezones,src/index.js,135,32,41,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,"buildTimezone(data, name)","buildTimezone(data, name, false)",Unknown
countries-and-timezones,src/index.js,136,32,41,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,"buildTimezone(data, name)","buildTimezone(data, name, null)",Unknown
countries-and-timezones,src/index.js,153,43,32,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,tzName,tzName.split(' ')[0],Behavioral Change
countries-and-timezones,src/index.js,163,45,39,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,c,c.toUpperCase(),Unknown
countries-and-timezones,src/index.js,167,45,42,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,options,options.deprecated ? options : null,Behavioral Change
countries-and-timezones,src/index.js,169,62,7,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,deprecated === true,deprecated,Near Equivalent
countries-and-timezones,src/index.js,177,64,31,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,"Object.assign(prev, { [key]: tzs[key] })","Object.assign(prev, {
  [key]: tzs[key] ? tzs[key] : null
})",Near Equivalent
countries-and-timezones,src/index.js,178,64,31,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,"Object.assign(prev, { [key]: tzs[key] })","Object.assign(prev, {
  [key]: tzs[key] ? tzs[key] : undefined
})",Near Equivalent
countries-and-timezones,src/index.js,179,64,31,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,"Object.assign(prev, { [key]: tzs[key] })","Object.assign(prev, {
  [key]: tzs[key] ? tzs[key] : false
})",Near Equivalent
countries-and-timezones,src/index.js,180,64,51,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,{ [key]: tzs[key] },"{
  [key.toUpperCase()]: tzs[key]
}",Behavioral Change
countries-and-timezones,src/index.js,181,64,51,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,{ [key]: tzs[key] },"{
  [key + '!']: tzs[key]
}",Behavioral Change
countries-and-timezones,src/index.js,182,64,51,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,{ [key]: tzs[key] },"{
  [key.split('').reverse().join('')]: tzs[key]
}",Behavioral Change
crawler-url-parser,crawler-url-parser.js,63,57,28,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,parsedBaseUrl,"URL.parse(baseUrlStr, true, true)",Unknown
crawler-url-parser,crawler-url-parser.js,68,57,28,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,parsedBaseUrl,URL.parse(parsedBaseUrl),Unknown
crawler-url-parser,crawler-url-parser.js,69,57,28,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,parsedBaseUrl,parsedBaseUrl.href,Behavioral Change
crawler-url-parser,crawler-url-parser.js,107,66,23,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,parsedUrl,parsedUrl.href,Behavioral Change
crawler-url-parser,crawler-url-parser.js,95,71,6,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,ret.host,ret.protocol,Behavioral Change
crawler-url-parser,crawler-url-parser.js,98,71,6,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,ret.host,ret.protocol,Behavioral Change
crawler-url-parser,crawler-url-parser.js,119,87,50,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,data,"data.replace(/^\s+|\s+$/g, '')",Behavioral Change
crawler-url-parser,crawler-url-parser.js,113,93,4,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,'a','a[href]',Behavioral Change
crawler-url-parser,crawler-url-parser.js,129,93,4,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,'a','a[href]',Behavioral Change
crawler-url-parser,crawler-url-parser.js,119,93,4,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,'a',$('a'),Behavioral Change
crawler-url-parser,crawler-url-parser.js,182,119,21,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,"gettype(currentUrl, baseUrl)","gettype(currentUrl.url, baseUrl.url)",Behavioral Change
crawler-url-parser,crawler-url-parser.js,188,138,6,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,"typeof linkurl == ""string""",linkurl.length > 0,Behavioral Change
crawler-url-parser,crawler-url-parser.js,264,165,8,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,linkurl_path.includes(pageurl_path),linkurl_path.startsWith(pageurl_path),Behavioral Change
crawler-url-parser,crawler-url-parser.js,271,166,14,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,part_count_diff == -1,part_count_diff < 1,Behavioral Change
crawler-url-parser,crawler-url-parser.js,254,166,14,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,part_count_diff == -1,part_count_diff < 0,Trivially Equivalent
crawler-url-parser,crawler-url-parser.js,273,172,7,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,linkurl_subdomain_len < pageurl_subdomain_len,linkurl_subdomain_len <= pageurl_subdomain_len,Behavioral Change
crawler-url-parser,crawler-url-parser.js,282,172,7,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,linkurl_subdomain_len < pageurl_subdomain_len,linkurl_subdomain_len <= pageurl_subdomain_len,Behavioral Change
delta,src/AttributeMap.ts,13,23,13,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,attributes[key] != null,attributes[key] !== null,Behavioral Change
delta,src/AttributeMap.ts,14,23,13,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,attributes[key] != null,attributes[key] != undefined,Trivially Equivalent
delta,src/AttributeMap.ts,15,29,23,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,a,a || b,Unknown
delta,src/AttributeMap.ts,22,30,11,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,a[key] !== undefined && b[key] === undefined,a[key] !== null && b[key] === undefined,Behavioral Change
delta,src/AttributeMap.ts,26,50,30,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,b[key],b[key] !== undefined ? b[key] : null,Unknown
delta,src/AttributeMap.ts,56,64,11,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,base[key] !== attr[key] && attr[key] !== undefined,base[key] !== attr[key] && attr[key] !== undefined && base[key] !== undefined,Trivially Equivalent
delta,src/AttributeMap.ts,73,88,9,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,!priority,!priority && b,Trivially Equivalent
delta,src/AttributeMap.ts,51,91,36,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,b,b || false,Trivially Equivalent
delta,src/Delta.ts,125,89,9,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,length <= 0,length === 0,Behavioral Change
delta,src/Delta.ts,162,146,11,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,typeof newOp.retain === 'number' ,typeof newOp.retain === 'number' && typeof lastOp.retain === 'number' && newOp.retain > 0,Unknown
delta,src/Delta.ts,163,146,11,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,typeof newOp.retain === 'number' ,typeof newOp.retain === 'number' && typeof lastOp.retain === 'number' && lastOp.retain > 0,Unknown
delta,src/Delta.ts,143,160,7,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,"this.ops.splice(index, 0, newOp)","this.ops.splice(index, newOp.length, newOp)",Behavioral Change
delta,src/Delta.ts,177,160,23,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,index,this.ops.length - 1,Behavioral Change
delta,src/Delta.ts,182,167,9,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,lastOp && typeof lastOp.retain === 'number' && !lastOp.attributes,lastOp && typeof lastOp.retain === 'number' && lastOp.attributes == null,Trivially Equivalent
delta,src/Delta.ts,183,167,9,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,lastOp && typeof lastOp.retain === 'number' && !lastOp.attributes,lastOp && typeof lastOp.retain === 'number' && lastOp.attributes === undefined,Near Equivalent
delta,src/Delta.ts,209,199,12,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,"this.ops.reduce(predicate, initialValue)","this.ops.reduce(predicate, initialValue * 2)",Behavioral Change
delta,src/Delta.ts,300,275,19,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,thisOp.retain == null,thisOp.retain === undefined,Near Equivalent
delta,src/Delta.ts,319,340,9,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,this.ops === other.ops,!other,Behavioral Change
delta,src/Delta.ts,364,360,14,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,length > 0,length !== 0,Unknown
delta,src/Delta.ts,381,378,42,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,opLength,length,Unknown
delta,src/Delta.ts,411,408,11,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,iter.peekType() !== 'insert',iter.hasNext() && iter.peekType() !== 'insert',Trivially Equivalent
delta,src/Delta.ts,425,415,35,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,newline,'\n',Unknown
delta,src/Delta.ts,502,430,27,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,i,i++,Behavioral Change
delta,src/Delta.ts,505,437,11,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,op.insert,op.insert + 1,Near Equivalent
delta,src/Delta.ts,470,437,11,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,op.insert,op.insert + 1,Near Equivalent
delta,src/Delta.ts,476,439,18,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,typeof op.retain === 'number' && op.attributes == null,typeof op.retain === 'number' && !op.attributes,Trivially Equivalent
delta,src/Delta.ts,553,456,18,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,typeof op.retain === 'object' && op.retain !== null,op.retain !== 'object',Behavioral Change
delta,src/Delta.ts,516,456,18,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,typeof op.retain === 'object' && op.retain !== null,op.retain instanceof Object,Near Equivalent
delta,src/Delta.ts,517,456,18,mutation-testing-data/codellama-34b-instruct/template-full-1.0/run341,typeof op.retain === 'object' && op.retain !== null,typeof op.retain === 'object' && op.retain !== {},Behavioral Change
delta,src/Delta.ts,576,463,42,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,embedType,embedType.toLowerCase(),Unknown
delta,src/Delta.ts,564,463,42,mutation-testing-data/codellama-34b-instruct/template-full-0.5/run318,embedType,embedType.toLowerCase(),Unknown
delta,src/Delta.ts,579,465,26,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,"handler.invert(opData, baseOpData)","handler.invert(opData, baseOpData, 0)",Unknown
delta,src/Delta.ts,580,465,26,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,"handler.invert(opData, baseOpData)","handler.invert(opData, baseOpData, null)",Unknown
delta,src/Delta.ts,581,465,26,mutation-testing-data/codellama-34b-instruct/template-full-0.25/run348,"handler.invert(opData, baseOpData)","handler.invert(opData, baseOpData, undefined)",Unknown
