"model","template","temperature","run","project","startLine","startColumn","endLine","endColumn","originalCode","replacement","promptId","completionId","reason","lv"
"codellama-34b-instruct","full","0.25","348","image-downloader",24,6,24,36,"!path.isAbsolute(options.dest)","path.isAbsolute(options.dest)",19,18,"if/test",1
"codellama-34b-instruct","full","0.5","318","image-downloader",13,6,13,21,"extractFilename","!extractFilename",7,6,"if/test",1
"codellama-34b-instruct","full","0.5","318","image-downloader",24,7,24,22,"path.isAbsolute","!path.isAbsolute",20,19,"call/callee",1
"codellama-34b-instruct","full","1.0","341","image-downloader",9,6,9,19,"!options.dest","!!options.dest",4,3,"if/test",1
"codellama-34b-instruct","full","1.0","341","image-downloader",13,6,13,21,"extractFilename","!extractFilename",7,6,"if/test",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","image-downloader",13,6,13,21,"extractFilename","!extractFilename",7,6,"if/test",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","image-downloader",24,6,24,36,"!path.isAbsolute(options.dest)","path.isAbsolute(options.dest)",19,18,"if/test",1
"codellama-34b-instruct","noexplanation","0.0","372","image-downloader",13,6,13,21,"extractFilename","!extractFilename",7,6,"if/test",1
"codellama-34b-instruct","noexplanation","0.0","372","image-downloader",24,6,24,36,"!path.isAbsolute(options.dest)","path.isAbsolute(options.dest)",19,18,"if/test",1
"codellama-34b-instruct","noinstructions","0.0","378","image-downloader",13,6,13,21,"extractFilename","!extractFilename",7,6,"if/test",1
"codellama-34b-instruct","noinstructions","0.0","378","image-downloader",24,6,24,36,"!path.isAbsolute(options.dest)","path.isAbsolute(options.dest)",19,18,"if/test",1
"codellama-34b-instruct","onemutation","0.0","365","image-downloader",13,6,13,21,"extractFilename","!extractFilename",7,6,"if/test",1
"codellama-34b-instruct","onemutation","0.0","365","image-downloader",24,6,24,36,"!path.isAbsolute(options.dest)","path.isAbsolute(options.dest)",19,18,"if/test",1
"mixtral-8x7b-instruct","full","0.0","360","image-downloader",6,44,6,51,"'https'","'http'",29,28,"call/arg0",1
"mixtral-8x7b-instruct","full","0.0","360","image-downloader",10,10,10,32,"res.statusCode !== 200","res.statusCode !== 201",32,31,"if/test",1
"codellama-13b-instruct","full","0.0","354","node-dirty",28,8,28,25,"val === undefined","val !== undefined",3,2,"if/test",1
"codellama-13b-instruct","full","0.0","354","node-dirty",70,10,70,12,"fn","!fn",40,39,"call/callee",1
"codellama-34b-instruct","basic","0.0","390","node-dirty",101,8,101,28,"this.emit('load', 0)","this.emit('load')",72,71,"call/allArgs",3
"codellama-34b-instruct","basic","0.0","390","node-dirty",114,12,114,32,"this.emit('load', 0)","this.emit('load')",77,76,"call/allArgs",3
"codellama-34b-instruct","full","0.0","312","node-dirty",28,8,28,25,"val === undefined","val !== undefined",3,2,"if/test",1
"codellama-34b-instruct","full","0.0","312","node-dirty",34,18,34,33,"this._queue.get","this._queue.set",11,10,"call/callee",1
"codellama-34b-instruct","full","0.25","348","node-dirty",28,8,28,25,"val === undefined","val !== undefined",3,2,"if/test",1
"codellama-34b-instruct","full","0.25","348","node-dirty",34,18,34,33,"this._queue.get","this._queue.set",11,10,"call/callee",1
"codellama-34b-instruct","full","0.5","318","node-dirty",33,8,33,17,"this.path","!this.path",10,9,"if/test",1
"codellama-34b-instruct","full","0.5","318","node-dirty",39,31,39,33,"cb","!cb",24,23,"if/test",1
"codellama-34b-instruct","full","1.0","341","node-dirty",28,8,28,25,"val === undefined","val !== undefined",3,2,"if/test",1
"codellama-34b-instruct","full","1.0","341","node-dirty",31,26,31,29,"val","-val",8,7,"call/arg1",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","node-dirty",28,8,28,25,"val === undefined","val !== undefined",3,2,"if/test",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","node-dirty",34,18,34,33,"this._queue.get","this._queue.set",11,10,"call/callee",1
"codellama-34b-instruct","noexplanation","0.0","372","node-dirty",28,8,28,25,"val === undefined","val !== undefined",3,2,"if/test",1
"codellama-34b-instruct","noexplanation","0.0","372","node-dirty",39,31,39,33,"cb","!cb",24,23,"if/test",1
"codellama-34b-instruct","noinstructions","0.0","378","node-dirty",28,8,28,25,"val === undefined","val == undefined",3,2,"if/test",1
"codellama-34b-instruct","noinstructions","0.0","378","node-dirty",31,6,31,30,"this._data.set(key, val)","this._data.set(key, val,)",9,8,"call/allArgs",1
"codellama-34b-instruct","onemutation","0.0","365","node-dirty",34,18,34,33,"this._queue.get","this._queue.set",11,10,"call/callee",1
"codellama-34b-instruct","onemutation","0.0","365","node-dirty",39,31,39,33,"cb","!cb",24,23,"if/test",1
"mixtral-8x7b-instruct","full","0.0","360","node-dirty",19,4,19,14,"this._load","this.load",1,0,"call/callee",1
"mixtral-8x7b-instruct","full","0.0","360","node-dirty",28,8,28,25,"val === undefined","val == undefined",3,2,"if/test",1
"codellama-13b-instruct","full","0.0","354","node-geo-point",68,8,68,30,"point.type !== 'Point'","point.type === 'Point'",12,11,"if/test",1
"codellama-13b-instruct","full","0.0","354","node-geo-point",105,50,105,66,"point1.longitude","point2.longitude",33,32,"call/arg0",1
"codellama-34b-instruct","basic","0.0","390","node-geo-point",68,8,68,30,"point.type !== 'Point'","point.type === 'Point'",12,11,"if/test",1
"codellama-34b-instruct","basic","0.0","390","node-geo-point",105,22,105,38,"point2.longitude","point1.longitude",31,30,"call/arg0",1
"codellama-34b-instruct","full","0.0","312","node-geo-point",64,30,64,36,"'type'","'typee'",9,8,"call/arg0",1
"codellama-34b-instruct","full","0.0","312","node-geo-point",64,63,64,76,"'coordinates'","'coordinate'",11,10,"call/arg0",1
"codellama-34b-instruct","full","0.25","348","node-geo-point",64,42,64,62,"point.hasOwnProperty","!point.hasOwnProperty",10,7,"call/callee",1
"codellama-34b-instruct","full","0.25","348","node-geo-point",89,69,89,80,"'longitude'","'longitudee'",25,12,"call/arg0",1
"codellama-34b-instruct","full","0.5","318","node-geo-point",68,8,68,30,"point.type !== 'Point'","point.type === 'Point'",12,11,"if/test",1
"codellama-34b-instruct","full","0.5","318","node-geo-point",85,8,85,25,"!isObject(object)","isObject(object)",18,17,"if/test",1
"codellama-34b-instruct","full","1.0","341","node-geo-point",68,8,68,30,"point.type !== 'Point'","point.type === 'Point'",12,11,"if/test",1
"codellama-34b-instruct","full","1.0","341","node-geo-point",68,8,68,30,"point.type !== 'Point'","point.type !== 'point'",12,11,"if/test",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","node-geo-point",103,30,103,45,"point1.latitude","point2.latitude",27,26,"call/arg0",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","node-geo-point",105,22,105,38,"point2.longitude","point1.longitude",31,30,"call/arg0",1
"codellama-34b-instruct","noexplanation","0.0","372","node-geo-point",103,30,103,45,"point1.latitude","point2.latitude",27,26,"call/arg0",1
"codellama-34b-instruct","noexplanation","0.0","372","node-geo-point",104,30,104,45,"point2.latitude","point1.latitude",29,28,"call/arg0",1
"codellama-34b-instruct","noinstructions","0.0","378","node-geo-point",64,30,64,36,"'type'","'typee'",9,8,"call/arg0",1
"codellama-34b-instruct","noinstructions","0.0","378","node-geo-point",103,30,103,45,"point1.latitude","point2.latitude",27,26,"call/arg0",1
"codellama-34b-instruct","onemutation","0.0","365","node-geo-point",64,30,64,36,"'type'","'typee'",9,8,"call/arg0",1
"codellama-34b-instruct","onemutation","0.0","365","node-geo-point",103,30,103,45,"point1.latitude","point2.latitude",27,26,"call/arg0",1
"mixtral-8x7b-instruct","full","0.0","360","node-geo-point",46,8,46,43,"longitude < -180 || longitude > 180","longitude < -180 || longitude >= 180",3,2,"if/test",1
"mixtral-8x7b-instruct","full","0.0","360","node-geo-point",64,63,64,76,"'coordinates'","'coordinates2'",11,10,"call/arg0",1
"codellama-13b-instruct","full","0.0","354","node-jsonfile",27,8,27,19,"shouldThrow","!shouldThrow",14,13,"if/test",1
"codellama-13b-instruct","full","0.0","354","node-jsonfile",41,6,41,33,"typeof options === 'string'","typeof options !== 'string'",17,16,"if/test",1
"codellama-34b-instruct","basic","0.0","390","node-jsonfile",76,24,76,27,"obj","str",43,42,"call/arg0",3
"codellama-34b-instruct","basic","0.0","390","node-jsonfile",5,21,5,26,"/\n/g","/\r?\n/g",57,56,"call/arg0",3
"codellama-34b-instruct","full","0.0","312","node-jsonfile",27,8,27,19,"shouldThrow","!shouldThrow",14,13,"if/test",1
"codellama-34b-instruct","full","0.0","312","node-jsonfile",41,6,41,33,"typeof options === 'string'","typeof options !== 'string'",17,16,"if/test",1
"codellama-34b-instruct","full","0.25","348","node-jsonfile",27,8,27,19,"shouldThrow","!shouldThrow",14,13,"if/test",1
"codellama-34b-instruct","full","0.25","348","node-jsonfile",41,6,41,33,"typeof options === 'string'","typeof options !== 'string'",17,16,"if/test",1
"codellama-34b-instruct","full","0.5","318","node-jsonfile",27,8,27,19,"shouldThrow","!shouldThrow",14,13,"if/test",1
"codellama-34b-instruct","full","0.5","318","node-jsonfile",54,8,54,19,"shouldThrow","!shouldThrow",28,27,"if/test",1
"codellama-34b-instruct","full","1.0","341","node-jsonfile",11,6,11,33,"typeof options === 'string'","typeof options !== 'string'",1,0,"if/test",1
"codellama-34b-instruct","full","1.0","341","node-jsonfile",25,21,25,25,"data","!data",11,10,"call/arg0",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","node-jsonfile",27,8,27,19,"shouldThrow","!shouldThrow",14,13,"if/test",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","node-jsonfile",54,8,54,19,"shouldThrow","!shouldThrow",28,27,"if/test",1
"codellama-34b-instruct","noexplanation","0.0","372","node-jsonfile",27,8,27,19,"shouldThrow","!shouldThrow",14,13,"if/test",1
"codellama-34b-instruct","noexplanation","0.0","372","node-jsonfile",41,6,41,33,"typeof options === 'string'","typeof options !== 'string'",17,16,"if/test",1
"codellama-34b-instruct","noinstructions","0.0","378","node-jsonfile",27,8,27,19,"shouldThrow","!shouldThrow",14,13,"if/test",1
"codellama-34b-instruct","noinstructions","0.0","378","node-jsonfile",54,8,54,19,"shouldThrow","!shouldThrow",28,27,"if/test",1
"codellama-34b-instruct","onemutation","0.0","365","node-jsonfile",27,8,27,19,"shouldThrow","!shouldThrow",14,13,"if/test",1
"codellama-34b-instruct","onemutation","0.0","365","node-jsonfile",41,6,41,33,"typeof options === 'string'","typeof options !== 'string'",17,16,"if/test",1
"mixtral-8x7b-instruct","full","0.0","360","node-jsonfile",68,34,68,46,"fs.writeFile","_fs.writeFile",39,38,"call/arg0",1
"mixtral-8x7b-instruct","full","0.0","360","node-jsonfile",78,9,78,25,"fs.writeFileSync","_fs.writeFileSync",46,45,"call/callee",1
"codellama-13b-instruct","full","0.0","354","plural",6,51,6,52,"8","9",2,1,"call/arg0",1
"codellama-13b-instruct","full","0.0","354","plural",6,54,6,56,"-1","-2",3,2,"call/arg1",1
"codellama-34b-instruct","basic","0.0","390","plural",28,8,28,22,"/[^aeiouy]o$/i","/[^aeiouy]y$/i",50,49,"call/arg0",1
"codellama-34b-instruct","basic","0.0","390","plural",42,8,42,15,"'cello'","'cell'",71,70,"call/arg0",1
"codellama-34b-instruct","full","0.0","312","plural",6,51,6,52,"8","7",2,1,"call/arg0",1
"codellama-34b-instruct","full","0.0","312","plural",6,51,6,52,"8","9",2,1,"call/arg0",1
"codellama-34b-instruct","full","0.25","348","plural",6,51,6,52,"8","7",2,1,"call/arg0",1
"codellama-34b-instruct","full","0.25","348","plural",6,51,6,52,"8","9",2,1,"call/arg0",1
"codellama-34b-instruct","full","0.5","318","plural",6,51,6,52,"8","6",2,1,"call/arg0",1
"codellama-34b-instruct","full","0.5","318","plural",6,51,6,52,"8","7",2,1,"call/arg0",1
"codellama-34b-instruct","full","1.0","341","plural",6,51,6,52,"8","0",2,1,"call/arg0",1
"codellama-34b-instruct","full","1.0","341","plural",6,51,6,52,"8","1",2,1,"call/arg0",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","plural",6,51,6,52,"8","7",2,1,"call/arg0",1
"codellama-34b-instruct","full","genericsystemprompt-0.0","384","plural",6,51,6,52,"8","9",2,1,"call/arg0",1
"codellama-34b-instruct","noexplanation","0.0","372","plural",6,51,6,52,"8","7",2,1,"call/arg0",1
"codellama-34b-instruct","noexplanation","0.0","372","plural",6,51,6,52,"8","9",2,1,"call/arg0",1
"codellama-34b-instruct","noinstructions","0.0","378","plural",6,51,6,52,"8","7",2,1,"call/arg0",1
"codellama-34b-instruct","noinstructions","0.0","378","plural",6,51,6,52,"8","9",2,1,"call/arg0",1
"codellama-34b-instruct","onemutation","0.0","365","plural",6,51,6,52,"8","7",2,1,"call/arg0",1
"codellama-34b-instruct","onemutation","0.0","365","plural",6,54,6,56,"-1","-2",3,2,"call/arg1",1
"mixtral-8x7b-instruct","full","0.0","360","plural",16,8,16,26,"/[^aeiou]y$|quy$/i","/[^aeiou]y$|qu$/i",10,9,"call/arg0",1
"mixtral-8x7b-instruct","full","0.0","360","plural",16,8,16,26,"/[^aeiou]y$|quy$/i","/[^aeiou]y$|quy?$/i",10,9,"call/arg0",1
"codellama-13b-instruct","full","0.0","354","pull-stream",5,6,5,47,"typeof a === 'function' && a.length === 1","typeof a === 'function' && a.length === 2",10,9,"if/test",1
"codellama-13b-instruct","full","0.0","354","pull-stream",5,6,5,47,"typeof a === 'function' && a.length === 1","typeof a === 'function' && a.length === 0",10,9,"if/test",1
"codellama-34b-instruct","basic","0.0","390","pull-stream",21,32,21,38,"ref[0]","ref[1]",19,18,"call/arg1",1
"codellama-34b-instruct","basic","0.0","390","pull-stream",23,48,23,54,"ref[2]","ref[3]",30,29,"call/arg3",1
"codellama-34b-instruct","full","0.0","312","pull-stream",5,6,5,47,"typeof a === 'function' && a.length === 1","typeof a === 'function' && a.length === 2",10,9,"if/test",1
"codellama-34b-instruct","full","0.0","312","pull-stream",7,4,8,28,"for(var i = 0; i < length; i++)
      args[i] = arguments[i]","for(var i = 1; i < length; i++)
      args[i] = arguments[i]",11,10,"for/init",1
"codellama-34b-instruct","full","0.25","348","pull-stream",5,6,5,47,"typeof a === 'function' && a.length === 1","typeof a === 'function' && a.length === 2",10,9,"if/test",1
"codellama-34b-instruct","full","0.25","348","pull-stream",7,4,8,28,"for(var i = 0; i < length; i++)
      args[i] = arguments[i]","for(var i = 1; i < length; i++)
      args[i] = arguments[i]",11,10,"for/init",1
"codellama-34b-instruct","full","0.5","318","pull-stream",5,6,5,47,"typeof a === 'function' && a.length === 1","typeof a === 'function' && a.length === 2",10,9,"if/test",1
"codellama-34b-instruct","full","0.5","318","pull-stream",5,6,5,47,"typeof a === 'function' && a.length === 1","typeof a === 'function' && a.length === 0",10,9,"if/test",1
"codellama-34b-instruct","full","1.0","341","pull-stream",11,0,12,25,"for(var k in sources)
  exports[k] = sources[k]","for(var l in sources)
  exports[k] = sources[k]",1,0,"for-in/left",1
"codellama-34b-instruct","full","1.0","341","pull-stream",17,0,18,23,"for(var k in sinks)
  exports[k] = sinks[k]","for(var j in sinks)
  exports[k] = sinks[k]",7,6,"for-in/left",1
