project,fileName,line,column,killed.0.0,survived.0.0,timeout.0.0,replacements.0.0,killed.0.25,survived.0.25,timeout.0.25,replacements.0.25,killed.0.5,survived.0.5,timeout.0.5,replacements.0.5,killed.0.75,survived.0.75,timeout.0.75,replacements.0.75,killed.1.0,survived.1.0,timeout.1.0,replacements.1.0
countries-and-timezones,src/build-country.js,33,60,3,0,0,"tz.r
tz.r + 1
tz.r * 2",3,0,0,"tz.r
tz.r + 1
tz.r * 2",3,0,0,"tz.c
tz.r
tz.a",,,,,3,0,0,"undefined
null
""id"""
countries-and-timezones,src/build-country.js,34,32,3,0,0,"tz.r
tz.r + 1
tz.r * 2",3,0,0,"tz.r
tz.a
tz.c",3,0,0,"""placeholder""
id + 1
data.timezones[id].name",,,,,3,0,0,"tz.a
tz.r
undefined"
countries-and-timezones,src/build-timezone.js,3,7,3,0,0,"timezone !== name
timezone === null
!timezone.hasOwnProperty(name)",3,0,0,"!timezone.length
timezone.length === 0
timezone.length < 0",2,0,0,"!timezone.length
timezone === null",,,,,2,1,0,"!timezone || timezone.aliasOf
timezone !== null && !timezone.hasOwnProperty('aliasOf')
!timezone.getAlias()"
countries-and-timezones,src/build-timezone.js,14,21,1,2,0,"Number.isFinite
Number.isSafeInteger
Number.isNaN",,,,,1,2,0,"Number.isNaN
Number.isFinite
Number.isSafeInteger",,,,,3,0,0,"1 - tz.d
tz.d * 2
tz.d + 1"
countries-and-timezones,src/build-timezone.js,14,38,3,0,0,"tz.c
tz.u
tz.r",0,3,0,"tz.d - 1
tz.d + 1
tz.d * 2",0,3,0,"tz.d + 1
tz.d * 2
tz.d - 1",,,,,3,0,0,"tz.c
tz.u + 1
Math.random()"
countries-and-timezones,src/build-timezone.js,20,32,3,0,0,"utcOffset + 1
utcOffset * 2
utcOffset - 1",3,0,0,"utcOffset + 1
utcOffset * 2
utcOffset - 1",3,0,0,"utcOffset * 2
dstOffset
utcOffset + dstOffset",,,,,3,0,0,"0
dstOffset
getOffsetStr(utcOffset + 1)"
countries-and-timezones,src/build-timezone.js,22,32,3,0,0,"dstOffset + 1
dstOffset * 2
dstOffset - 1",3,0,0,"dstOffset / 2
dstOffset + 1
dstOffset * 2",3,0,0,"dstOffset + 1
dstOffset * 2
dstOffset - 1",,,,,3,0,0,"dstOffset + 1
utcOffset
dstOffset - utcOffset"
countries-and-timezones,src/build-timezone.js,25,7,3,0,0,"timezone.r && timezone.r.length > 0
timezone.r && timezone.r.length > 1
timezone.r && timezone.r.length > 2",2,0,0,"timezone.r && timezone.r.d
timezone.r && timezone.r.d !== undefined",3,0,0,"timezone.r && timezone.r.length > 0
timezone.r || timezone.r.length === 0
!timezone.r",,,,,,,,
countries-and-timezones,src/build-timezone.js,30,17,0,3,0,"Math.ceil
Math.round
Math.trunc",0,3,0,"Math.ceil
Math.round
Math.trunc",0,3,0,"Math.ceil
Math.round
Math.trunc",,,,,0,3,0,"Math.round
Math.ceil
Math.trunc"
countries-and-timezones,src/build-timezone.js,30,28,3,0,0,"offset % 60
offset * 60
offset + 60",3,0,0,"offset * 60
offset + 60
offset % 60",3,0,0,"offset % 60
offset * 60
offset - 60",,,,,2,1,0,"offset + 60
offset % 60
offset / 60.0"
countries-and-timezones,src/build-timezone.js,34,30,2,1,0,"min
offset
Math.floor(offset / 60)",2,1,0,"min
offset
Math.floor(offset / 60)",1,2,0,"Math.floor(offset / 60) + 1
Math.round(offset / 60)
Math.ceil(offset / 60)",,,,,3,0,0,"min
offset
utcOffset"
countries-and-timezones,src/build-timezone.js,34,50,3,0,0,"Math.floor(offset / 60)
Math.ceil(offset / 60)
Math.round(offset / 60)",3,0,0,"Math.floor(offset / 60) * 2
Math.floor(offset / 60) + 1
Math.floor(offset / 60) - 1",3,0,0,"Math.floor(offset / 60) + 1
Math.floor(offset / 60) - 12
Math.floor(offset / 60) + 12",,,,,,,,
countries-and-timezones,src/build-timezone.js,38,15,3,0,0,"Math.floor
Math.ceil
Math.round",3,0,0,"Math.floor
Math.ceil
Math.round",3,0,0,"Math.floor
Math.ceil
Math.round",,,,,1,0,0,Math.round
countries-and-timezones,src/build-timezone.js,38,24,3,0,0,"Math.floor(input / 60)
Math.round(input / 60)
Math.ceil(input / 60)",2,1,0,"Math.floor(input / 60)
input * 2
Math.abs(input)",2,1,0,"-input
input * 2
input + 1",,,,,1,2,0,"Math.abs(input) + 1
input * -1
input.toFixed(2)"
countries-and-timezones,src/index.js,5,36,3,0,0,"data.timezones.length
data.timezones.slice(1)
data.timezones[0]",3,0,0,"data.timezones.length
data.timezones[0]
data.timezones.slice(1)",1,2,0,"data.timezones.length
Object.keys(data.timezones).reverse()
Object.values(data.timezones)",,,,,,,,
countries-and-timezones,src/index.js,11,22,3,0,0,"data.timezones
data.countries.length
data.countries[0]",3,0,0,"data.timezones
data.timezones[0]
data.timezones.length",3,0,0,"data.timezones
Object.keys(data.timezones)
Object.values(data.timezones)",,,,,3,0,0,"Object.values(data.countries)
Object.keys(data.countries).map(key => data.countries[key])
Object.entries(data.countries).map(entry => entry[1])"
countries-and-timezones,src/index.js,12,12,3,0,0,"Object.assign(prev, {
  [id]: getTimezone(id, options)
})
Object.assign(prev, {
  [id]: getCountry(id, {
    deprecated: true
  })
})
Object.assign(prev, {
  [id]: getCountry(id, {
    allTimezones: true
  })
})",3,0,0,"Object.assign(prev, {
  [id]: getTimezone(id, options)
})
Object.assign(prev, {
  [id]: getCountry(id, options).timezones
})
Object.assign(prev, {
  [id]: getCountry(id, options).allTimezones
})",3,0,0,"Object.assign(prev, {
  [id]: getCountry(id, {
    deprecated: true
  })
})
Object.assign(prev, {
  [id]: getCountry(id, {
    allTimezones: true
  })
})
Object.assign(prev, {
  [id]: getCountry(id, {
    timezones: []
  })
})",,,,,2,1,0,"Object.assign(prev, {
  [id]: getTimezone(id, options)
})
Object.assign(prev, {
  [id]: null
})
Object.assign(prev, {
  [id]: getCountry(id, {
    deprecated: true,
    ...options
  })
})"
countries-and-timezones,src/index.js,12,26,3,0,0,"prev * 2
prev + 1
prev - 1",3,0,0,"prev + 1
prev * 2
prev - 1",3,0,0,"prev + 1
prev.concat([1])
prev.slice(1)",,,,,,,,
countries-and-timezones,src/index.js,12,32,3,0,0,"{
  [id]: getTimezone(id, options)
}
{
  [id]: getCountry(id, {
    deprecated: true
  })
}
{
  [id]: getCountry(id, {
    allTimezones: true
  })
}",3,0,0,"{
  [id]: getTimezone(id, options)
}
{
  [id]: getCountry(id, {
    deprecated: true
  })
}
{
  [id]: getTimezonesForCountry(id, options)
}",2,0,0,"{
  [id]: getTimezone(id, options)
}
{
  [id]: getCountry(id, {
    deprecated: true
  })
}",,,,,2,1,0,"{
  [id]: getCountry(id + '1', options)
}
{
  [id]: getCountry(id, {
    deprecated: true,
    ...options
  })
}
{
  [id]: getCountry(id, {
    timezones: Object.values(data.timezones)
  })
}"
countries-and-timezones,src/index.js,12,40,2,0,0,"getCountriesForTimezone
getCountryForTimezone",2,0,0,"getCountryForTimezone
getCountriesForTimezone",3,0,0,"getCountry(id + 1, options)
getCountry(id, {
  ...options,
  deprecated: true
})
getCountry(id, options + 1)",,,,,1,2,0,"getCountry(id, options + 'randomString')
getCountry(id, options)
getCountry(id, {
  ...options,
  newProperty: 'newValue'
})"
countries-and-timezones,src/index.js,12,51,3,0,0,"id * 2
id + 1
id - 1",3,0,0,"id * 2
id + 1
id - 1",3,0,0,"id + 1
id * 2
id - 1",,,,,2,0,0,"!id
id * 2"
countries-and-timezones,src/index.js,12,55,3,0,0,"options.deprecated
options.deprecated || {}
options.deprecated ? options.deprecated : {}",3,0,0,"options.deprecated
options.countries
options.timezones",3,0,0,"options[0]
options.length
options.slice(1)",,,,,2,0,0,"undefined
{
  foo: 'bar'
}"
countries-and-timezones,src/index.js,17,7,0,3,0,"totalTimezones !== memoizedTimezones + 1
totalTimezones !== memoizedTimezones - 1
totalTimezones !== memoizedTimezones * 2",1,1,0,"totalTimezones === memoizedTimezones
totalTimezones > memoizedTimezones",0,3,0,"totalTimezones !== memoizedTimezones + 1
totalTimezones !== memoizedTimezones - 1
totalTimezones !== Object.keys(timezones).length",,,,,,,,
countries-and-timezones,src/index.js,17,57,3,0,0,"data.countries
data.timezones.filter(tz => tz.deprecated)
data.timezones.length",3,0,0,"data.timezones.length
data.timezones.filter(tz => tz.deprecated)
data.timezones.map(tz => tz.name)",3,0,0,"data.countries
data.timezones.length
Object.keys(data.timezones).length",,,,,3,0,0,"data.timezones.length
Object.values(data.timezones)
data.timezones[0]"
countries-and-timezones,src/index.js,17,81,3,0,0,"getTimezone(timezones[id])
getTimezone(timezones[id].name)
getTimezone(timezones[id].timezone)",3,0,0,"timezones[id]
getTimezone(id)
buildTimezone(data, id)",3,0,0,"getTimezone(timezones[id])
getTimezone(timezones[id].name)
getTimezone(timezones[id] + 1)",,,,,,,,
countries-and-timezones,src/index.js,18,10,3,0,0,"deliverTimezones(timezones, options.deprecated)
deliverTimezones(timezones, options.deprecated ? options.deprecated : options)
deliverTimezones(timezones, options.deprecated ? options.deprecated : options.timezones)",3,0,0,"deliverTimezones(timezones, options.deprecated)
deliverTimezones(timezones, options.timezones)
deliverTimezones(timezones, options.allTimezones)",3,0,0,"deliverTimezones(timezones, options.deprecated)
deliverTimezones(timezones.deprecated, options)
deliverTimezones(timezones.allTimezones, options)",,,,,3,0,0,"deliverTimezones(timezones + options)
deliverTimezones(timezones.concat(options))
deliverTimezones(timezones.push(options))"
countries-and-timezones,src/index.js,18,27,3,0,0,"timezones.length
timezones[0]
timezones.slice(1)",3,0,0,"timezones.filter(tz => tz.deprecated)
timezones.map(tz => tz.name)
timezones.reduce((acc, tz) => acc + tz.name, '')",3,0,0,"timezones.filter(tz => tz.deprecated)
timezones.map(tz => tz.name)
timezones.slice(0, 5)",,,,,3,0,0,"Object.keys(timezones)
Object.values(data.timezones)
Object.keys(data.timezones)"
countries-and-timezones,src/index.js,18,38,3,0,0,"options.deprecated
!options.deprecated
options.deprecated ? options.deprecated : options",3,0,0,"options.deprecated
options.deprecated = !options.deprecated
options.deprecated = true",3,0,0,"null
{}
options.deprecated",,,,,3,0,0,"{
  foo: options.bar
}
2 * options.length
options + 1"
countries-and-timezones,src/index.js,22,7,2,1,0,"countries[id]
Object.prototype.hasOwnProperty.call(countries, id)
countries[id] === undefined",3,0,0,"countries[id]
!countries[id] && getCountry(id)
countries[id] || getCountry(id)",3,0,0,"countries[id] = true
countries[id]
countries[id] === true",,,,,1,1,0,"id && !countries[id]
countries[id] || !countries[id]"
countries-and-timezones,src/index.js,22,23,1,0,0,memoizeTimezone,1,0,0,memoizeTimezone,1,0,0,memoizeTimezone,,,,,,,,
countries-and-timezones,src/index.js,22,38,3,0,0,"buildCountry(data, id + 1)
buildCountry(data, id - 1)
buildCountry(data, id * 2)",3,0,0,"buildCountry(data, id + 1)
buildCountry(data, id - 1)
buildCountry(data, id * 2)",3,3,0,"buildCountry(data, id, true)
buildCountry(data, 'foo')
buildCountry(data, null)
buildCountry(data, id, false)
buildCountry(data, 'bar')
buildCountry(data, id, null)",,,,,1,0,0,buildTimezone
countries-and-timezones,src/index.js,22,51,3,0,0,"undefined
null
{}",3,0,0,"data.timezones
data.countries
data.timezones.length",2,0,0,"undefined
{}",,,,,2,0,0,"null
''"
countries-and-timezones,src/index.js,23,10,3,0,0,"deliverTimezones
getCountryForTimezone
getTimezonesForCountry",3,0,0,"deliverCountry(countries[id] = options)
deliverCountry(countries[id] += options)
deliverCountry(countries[id] = options.country)",3,0,0,"deliverCountry(countries[id] * options)
deliverCountry(countries[id] + options)
deliverCountry(countries[id] - options)",,,,,3,0,0,"deliverCountry(countries[options[id]], options)
deliverCountry(countries[id] || options)
deliverCountry(countries[id] + options[id])"
countries-and-timezones,src/index.js,23,40,3,0,0,"options.deprecated
!options.deprecated
options.deprecated ? options.deprecated : options",3,0,0,"options.deprecated
options.countries
options.timezones",3,0,0,"options.deprecated
options.timezones
options.countries",,,,,,,,
countries-and-timezones,src/index.js,27,7,2,1,0,"country !== undefined
country === null
!country.id",3,0,0,"country.name
country.id
country.length",3,0,0,"!country.id
country.id === undefined
!country.hasOwnProperty('id')",,,,,1,1,0,"country === null
!countries[country]"
countries-and-timezones,src/index.js,32,7,1,2,0,"timezones[name] === null
timezones[name] === undefined
!timezones.hasOwnProperty(name)",1,2,0,"timezones[name] === undefined
timezones[name] === null
!timezones.hasOwnProperty(name)",1,1,0,"timezones[name]
timezones[name] === undefined",,,,,2,1,0,"!timezones[name.toUpperCase()]
Object.keys(timezones).includes(name)
timezones[name] === undefined"
countries-and-timezones,src/index.js,32,41,5,0,0,"buildTimezone(data, name.toUpperCase())
buildTimezone(data, name + 'foo')
buildTimezone(data, name.split('').reverse().join(''))
buildTimezone(data, ""wrong_name"")
buildTimezone(data, name + ""wrong_suffix"")",3,3,0,"buildTimezone(data, name, true)
buildTimezone(data, name.toUpperCase())
buildTimezone(data, name, false)
buildTimezone(data, name, null)
buildTimezone(data, name.length)
buildTimezone(data, name.split(''))",6,0,0,"buildTimezone(data, name).split('').reverse().join('')
buildTimezone(data, name).toUpperCase()
buildTimezone(data, name).slice(1)
buildTimezone(data.timezones[name])
buildTimezone(data.timezones[name].name)
buildTimezone(data.timezones[name].offset)",,,,,6,0,0,"buildTimezone(data, 'invalid_name')
buildTimezone(null, name)
buildTimezone(data[name], name)
buildTimezone(buildTimezone(null, name))
buildTimezone(buildTimezone(data, 'foo'))
buildTimezone(buildTimezone(data, name + 'foo'))"
countries-and-timezones,src/index.js,32,55,3,0,0,"null
undefined
{}",2,0,0,"undefined
{}",3,0,0,"null
undefined
{}",,,,,2,0,0,"undefined
{}"
countries-and-timezones,src/index.js,37,7,3,0,0,"timezone.name
timezone.name === 'UTC'
!timezone.name",3,0,0,"timezone.name.length > 0
timezone.name === 'UTC'
timezone.name.includes('UTC')",3,0,0,"timezone.name !== 'UTC'
timezone.name !== 'GMT'
timezone.name !== 'Europe/London'",,,,,2,0,0,"!!timezone
timezone != null"
countries-and-timezones,src/index.js,32,61,1,0,0,name.length,3,0,0,"name.split('').reverse().join('')
name.toUpperCase()
name.length",3,0,0,"""invalid""
undefined
null",,,,,3,0,0,"'wrong_name'
undefined
0"
countries-and-timezones,src/index.js,39,35,1,2,0,"timezone.name
timezone.timezones
timezone.countries",0,3,0,"Object.keys(timezones).length
Object.keys(data.timezones).length
Object.values(timezones).length",0,3,0,"Object.keys(timezones).length
Object.keys(data.timezones).length + 1
Object.keys(data.timezones).length - 1",,,,,,,,
countries-and-timezones,src/index.js,43,20,2,0,0,"timezones[name].name
timezones[name]",,,,,,,,,,,,,1,0,0,getTimeZone
countries-and-timezones,src/index.js,43,32,3,0,0,"""invalid""
""timezone""
""country""",2,1,0,"tzName.toUpperCase()
tzName.length
tzName.split(' ')[0]",3,0,0,"""invalid""
""timezones""
""countries""",,,,,3,0,0,"null
""""
""invalid_timezone"""
countries-and-timezones,src/index.js,45,21,3,0,0,"c => getTimezone(c, options)
c => getCountry(c, {
  allTimezones: true
})
c => getCountry(c, {
  deprecated: true
})",3,0,0,"c => getTimezone(c, options)
c => getCountry(c, {
  allTimezones: true
})
c => getCountry(c, {
  deprecated: true
})",2,0,0,"c => getTimezone(c, options)
c => getCountry(c, {
  deprecated: true
})",,,,,3,0,0,"() => null
c => getTimezone(c)
c => getCountry(c, {
  deprecated: true
})"
countries-and-timezones,src/index.js,45,28,2,0,0,"getCountriesForTimezone
getTimezonesForCountry",2,0,0,"getTimezonesForCountry
getCountriesForTimezone",2,0,0,"getCountriesForTimezone
getAllTimezones",,,,,1,0,0,"getCountry(null, options)"
countries-and-timezones,src/index.js,45,39,3,0,0,"c.id
c.name
c.timezones[0]",2,1,0,"c[0]
c.toUpperCase()
c + ""a""",3,0,0,"c.id
c.timezones[0]
c[0]",,,,,3,0,0,"c[length]
c[0]
c[Math.floor(Math.random() * c.length)]"
countries-and-timezones,src/index.js,45,42,3,0,0,"options.deprecated
!options.deprecated
options.deprecated ? options.deprecated : options",2,1,0,"options.deprecated
!options
options.deprecated ? options : null",3,0,0,"undefined
{}
""random string""",,,,,3,0,0,"options.deprecated
options['deprecated']
{
  ...options,
  deprecated: true
}"
countries-and-timezones,src/index.js,49,18,2,0,0,"getTimezonesForCountry
getCountryForTimezone",3,0,0,"getTimezonesForCountry
getCountryForTimezone
getAllCountries",3,0,0,"getCountriesForTimezone(null)
getCountriesForTimezone(undefined)
getCountriesForTimezone(""random string"")",,,,,3,0,0,"getCountriesForTimezone(getCountry(undefined, options))
getCountriesForTimezone(getCountry(tzName + '_', options))
getCountriesForTimezone(getCountry(options.country, options))"
countries-and-timezones,src/index.js,49,42,3,0,0,"""random string""
undefined
null",3,0,0,"undefined
null
""invalid""",3,0,0,"""invalid""
""random""
""undefined""",,,,,3,0,0,"tzName + 'foo'
tzName + 1
'bar' + tzName"
countries-and-timezones,src/index.js,54,19,3,0,0,"getCountry(countryId - 1, options)
getCountry(countryId + 1, options)
getCountry(countryId * 2, options)",3,0,0,"getCountry(countryId + 1, options)
getCountry(countryId * 2, options)
getCountry(countryId - 1, options)",3,0,0,"getTimezone
getCountryForTimezone
getCountriesForTimezone",,,,,2,0,0,"country[id]
country.name"
countries-and-timezones,src/index.js,54,30,3,0,0,"countryId + 1
countryId - 1
countryId * 2",3,0,0,"""invalid_country_id""
countryId + 1
countryId * 2",3,0,0,"countryId + 1
countryId * 2
countryId - 1",,,,,3,0,0,"""invalidCountryId""
countryId * 2
countryId + ""ABC"""
countries-and-timezones,src/index.js,55,7,2,1,0,"country === null
country.timezones.length === 0
country.length === 0",2,1,0,"country === null
country !== undefined
country.length === 0",2,1,0,"country === null
country.length === 0
Object.keys(country).length === 0",,,,,2,1,0,"country === null
country && country.timezones.length === 0
Object.keys(country).length === 0"
countries-and-timezones,src/index.js,57,10,1,0,0,values.forEach,3,0,0,"values.filter
values.reduce
values.find",3,0,0,"values.find
values.forEach
values.filter",,,,,3,0,0,"values.filter
values.forEach
values.reduce"
countries-and-timezones,src/index.js,57,21,3,0,0,"getTimezone(name).name
getTimezone(name).timezones
getTimezone(name).timezones[0]",3,0,0,"getTimezone(name).name
getTimezone(name).timezones
getTimezone(name).countries",3,0,0,"getTimezone(tzName).name
getTimezone(tzName).deprecated
getTimezone(tzName).timezones",,,,,3,0,0,"getCountriesForTimezone
timezones[name][0]
countries[name]"
countries-and-timezones,src/index.js,62,7,3,0,0,"deprecated !== true
!deprecated
deprecated === false",3,0,0,"deprecated !== true
deprecated === false
!deprecated",3,0,0,"deprecated !== true
!deprecated
deprecated !== 'true'",,,,,2,1,0,"deprecated.customProp
memoizedTimezones.length > 0
deprecated"
countries-and-timezones,src/index.js,63,22,3,0,0,"Object.keys(tzs).length
tzs[0]
tzs.length",3,0,0,"Object.keys(tzs)
tzs.length
tzs[0]",3,0,0,"Object.values(tzs)
Object.getOwnPropertyNames(tzs)
Object.entries(tzs)",,,,,3,0,0,"Object.values(tzs)
tzs.timezones
tzs.countries"
countries-and-timezones,src/index.js,64,9,2,1,0,"tzs[key].deprecated
tzs[key].deprecated === true
tzs[key].deprecated !== true",2,1,0,"tzs[key].deprecated
tzs[key].deprecated === true
tzs[key].deprecated !== true",3,0,0,"tzs[key].deprecated === true
!tzs[key].deprecated && tzs[key].timezones.length > 0
!tzs[key].deprecated || tzs[key].timezones.length === 0",,,,,2,0,0,"expressions.exports.getDeprecatedTimezones(data)
Object.keys(data.timezones).length"
countries-and-timezones,src/index.js,64,31,3,0,0,"Object.assign(prev, {
  [key]: tzs[key] + 1
})
Object.assign(prev, {
  [key]: tzs[key] - 1
})
Object.assign(prev, {
  [key]: tzs[key] * 2
})",3,0,0,"Object.assign(prev, {
  [key]: tzs[key] + 1
})
Object.assign(prev, {
  [key]: tzs[key] * 2
})
Object.assign(prev, {
  [key]: tzs[key] - 1
})",3,0,0,"Object.assign(prev, {
  [key]: tzs[key].deprecated
})
Object.assign(prev, {
  [key]: tzs[key].name
})
Object.assign(prev, {
  [key]: tzs[key].timezones
})",,,,,0,3,0,"Object.assign(prev, {
  [key]: tzs[key] ? tzs[key] : null
})
Object.assign(prev, {
  [key]: tzs[key] ? tzs[key] : undefined
})
Object.assign(prev, {
  [key]: tzs[key] ? tzs[key] : false
})"
countries-and-timezones,src/index.js,64,45,3,0,0,"prev + tzs[key]
prev - tzs[key]
prev * tzs[key]",3,0,0,"prev + tzs[key]
prev[key]
prev[key] = tzs[key]",3,0,0,"prev + tzs[key]
prev[tzs[key].name] = tzs[key]
prev[tzs[key].name] = tzs[key].name",,,,,,,,
countries-and-timezones,src/index.js,64,51,3,0,0,"{
  [key]: tzs[key] + 1
}
{
  [key]: tzs[key] - 1
}
{
  [key]: tzs[key] * 2
}",3,0,0,"{
  [key]: tzs[key] + 1
}
{
  [key]: tzs[key] - 1
}
{
  [key]: tzs[key] * 2
}",3,0,0,"{
  [key]: tzs[key] - 1
}
{
  [key]: tzs[key] * 2
}
{
  [key]: tzs[key] + 1
}",,,,,0,3,0,"{
  [key.toUpperCase()]: tzs[key]
}
{
  [key + '!']: tzs[key]
}
{
  [key.split('').reverse().join('')]: tzs[key]
}"
countries-and-timezones,src/index.js,70,7,2,1,0,"country !== null
country === null
country === undefined",2,1,0,"country === null
country !== null
country == null",1,2,0,"country == null
country !== null
typeof country === 'undefined'",,,,,2,1,0,"country == null
country.length === 0
country.countryId === null"
countries-and-timezones,src/index.js,23,25,,,,,3,0,0,"countries[id] = null
countries[id] = {}
countries[id] = {
  id: id,
  name: 'Unknown'
}",,,,,,,,,3,0,0,"countries[id] = null
countries[id + 1]
countries[id] = 0"
countries-and-timezones,src/index.js,49,50,,,,,1,2,0,"options.deprecated = false
options.deprecated = true
options.deprecated = !options.deprecated",3,0,0,"options = {}
options = {
  deprecated: true
}
options = {
  allTimezones: false
}",,,,,1,1,0,"options.deprecated = true
options.deprecated = !options.deprecated"
countries-and-timezones,src/index.js,54,41,,,,,3,0,0,"options.deprecated
options.deprecated = true
options.deprecated = false",3,0,0,"options.deprecated
options.deprecated = true
options.deprecated = false",,,,,2,0,0,"[options.deprecated]
!options.deprecated"
countries-and-timezones,src/build-country.js,32,43,,,,,,,,,2,1,0,"result[country].current = []
result[country].all = []
result[country] = {
  current: [],
  all: []
}",,,,,2,0,0,"undefined
null"
countries-and-timezones,src/build-country.js,33,31,,,,,,,,,1,0,0,result[country].all.push,,,,,,,,
countries-and-timezones,src/index.js,22,57,,,,,,,,,3,0,0,"id + 1
id - 1
id * 2",,,,,3,0,0,"-id
id + 1
""id"""
countries-and-timezones,src/index.js,45,10,,,,,,,,,1,0,0,values.forEach,,,,,,,,
countries-and-timezones,src/build-timezone.js,22,19,,,,,,,,,,,,,,,,,1,0,0,'' + dstOffset
Complex.js,complex.js,41,12,0,3,0,"Math.round
Math.floor
Math.ceil",0,3,0,"Math.tan
Math.acos
Math.sin",,,,,,,,,,,,
Complex.js,complex.js,41,21,0,3,0,"x / 2
x * 2
x + 1",0,3,0,"x * 2
x / 2
x + 1",0,3,0,"x * 2
x + 1
x - 1",,,,,0,3,0,"Math.sqrt(x)
Math.PI + x
Math.E + x"
Complex.js,complex.js,41,42,0,3,0,"Math.sin
Math.cos
Math.tan",0,3,0,"Math.sin
Math.tan
Math.cos",0,2,0,"1
-1",,,,,0,3,0,"Math.sin
Math.tanh
Math.log1p"
